kernel_name,batch_size,seq_len,hidden_dim,avg_duration_us,min_duration_us,max_duration_us,stddev_duration_us
"layer_norm_(1,128,512)",1,128,512,5.704553800000001,5.674196,5.827054,0.054114752779625686
"layer_norm_(1,128,768)",1,128,768,6.3032678,6.271428,6.514285,0.07424282888049043
"layer_norm_(1,128,1024)",1,128,1024,6.9529999,6.871339,7.161517,0.10769940817174643
"layer_norm_(1,128,2048)",1,128,2048,9.423009,9.321429,9.722857,0.15087470186438354
"layer_norm_(1,128,4096)",1,128,4096,15.5180269,15.361429,15.725715,0.13571409241936175
"layer_norm_(1,128,8192)",1,128,8192,22.569142999999997,22.437054,22.675715,0.07491828443488723
"layer_norm_(1,256,512)",1,256,512,7.2685626,7.154286,7.412857,0.11683071320048218
"layer_norm_(1,256,768)",1,256,768,8.4612771,8.394286,8.629911,0.08200342100377438
"layer_norm_(1,256,1024)",1,256,1024,9.80125,9.655714,10.155625,0.19782099319502644
"layer_norm_(1,256,2048)",1,256,2048,14.949017699999999,14.665714,15.175714,0.16638864302392914
"layer_norm_(1,256,4096)",1,256,4096,22.9994553,22.902946,23.148571,0.07345202193578888
"layer_norm_(1,256,8192)",1,256,8192,37.5738126,37.348572,37.717053,0.1255967072968966
"layer_norm_(1,512,512)",1,512,512,10.1455537,10.069911,10.381429,0.08686187405946447
"layer_norm_(1,512,768)",1,512,768,12.979285899999999,12.722857,13.387054,0.26125016191486755
"layer_norm_(1,512,1024)",1,512,1024,15.430125099999998,15.204197,15.635804,0.11208663093880132
"layer_norm_(1,512,2048)",1,512,2048,23.4669998,23.282857,23.560089,0.07495423971819982
"layer_norm_(1,512,4096)",1,512,4096,38.335151800000006,38.075625,38.497143,0.15289380024768054
"layer_norm_(1,512,8192)",1,512,8192,67.1240357,66.878661,67.28,0.12278133043210594
"layer_norm_(1,1024,512)",1,1024,512,16.1510086,15.847142,16.372857,0.20851124201730656
"layer_norm_(1,1024,768)",1,1024,768,20.0012946,19.725625,20.112947,0.11561511776503154
"layer_norm_(1,1024,1024)",1,1024,1024,24.2941249,24.075625,24.418571,0.09929049605123418
"layer_norm_(1,1024,2048)",1,1024,2048,37.4272947,37.348571,37.505714,0.047945584665325794
"layer_norm_(1,1024,4096)",1,1024,4096,69.41660710000001,69.242946,69.562857,0.1208326737383828
"layer_norm_(1,1024,8192)",1,1024,8192,123.83613390000001,123.44866,124.335714,0.23607629153985402
"layer_norm_(1,2048,512)",1,2048,512,25.7062947,25.565714,25.997143,0.1223227794766785
"layer_norm_(1,2048,768)",1,2048,768,31.981723199999998,31.85,32.117232,0.08916430830999632
"layer_norm_(1,2048,1024)",1,2048,1024,39.3887859,39.294196,39.50134,0.06595129391106977
"layer_norm_(1,2048,2048)",1,2048,2048,70.5974194,70.417142,70.770089,0.12023520703761277
"layer_norm_(1,2048,4096)",1,2048,4096,129.60130360000002,129.32,130.34866,0.2826775180712692
"layer_norm_(1,2048,8192)",1,2048,8192,229.84260719999997,229.597143,230.175803,0.14261002223453426
"layer_norm_(1,4096,512)",1,4096,512,43.6391429,43.418572,43.78,0.12048272263547047
"layer_norm_(1,4096,768)",1,4096,768,58.8280357,58.654285,59.068572,0.13762058192488655
"layer_norm_(1,4096,1024)",1,4096,1024,74.40141960000001,74.255715,74.532947,0.08973242804298068
"layer_norm_(1,4096,2048)",1,4096,2048,125.6409997,125.441339,126.137054,0.19191949448086276
"layer_norm_(1,4096,4096)",1,4096,4096,241.3954551,241.075803,241.964285,0.24422092357100705
"layer_norm_(1,4096,8192)",1,4096,8192,441.6185802,441.402857,441.987142,0.16694883419233328
"layer_norm_(2,128,512)",2,128,512,7.117437300000001,6.992857,7.307232,0.12278659276344295
"layer_norm_(2,128,768)",2,128,768,8.303723199999999,8.21,8.560089,0.13829951280045927
"layer_norm_(2,128,1024)",2,128,1024,9.5377052,9.404285,9.811429,0.1470561257485651
"layer_norm_(2,128,2048)",2,128,2048,15.4781429,15.225714,15.667143,0.1533456595853155
"layer_norm_(2,128,4096)",2,128,4096,22.9061429,22.724286,23.131429,0.11781975556138523
"layer_norm_(2,128,8192)",2,128,8192,37.494151800000004,37.355804,37.681428,0.09112141427519091
"layer_norm_(2,256,512)",2,256,512,9.825428800000001,9.621428,10.118483,0.19928906323830223
"layer_norm_(2,256,768)",2,256,768,12.5618663,12.388572,12.937143,0.2099837000737866
"layer_norm_(2,256,1024)",2,256,1024,15.7075535,15.59,15.814196,0.08736262778308972
"layer_norm_(2,256,2048)",2,256,2048,23.166125299999997,23.05,23.274286,0.06916264561813641
"layer_norm_(2,256,4096)",2,256,4096,37.8843035,37.717142,38.011428,0.09914118400235596
"layer_norm_(2,256,8192)",2,256,8192,67.2075802,66.957143,67.37,0.12196254896829864
"layer_norm_(2,512,512)",2,512,512,15.4977142,15.325625,15.82,0.15216044703667256
"layer_norm_(2,512,768)",2,512,768,19.1597144,18.995714,19.495625,0.1602620680844695
"layer_norm_(2,512,1024)",2,512,1024,23.7424197,23.542857,23.877232,0.09810265413336676
"layer_norm_(2,512,2048)",2,512,2048,36.646678599999994,36.427143,36.728482,0.0933827203432782
"layer_norm_(2,512,4096)",2,512,4096,68.6713215,68.5,68.738571,0.07727799990258775
"layer_norm_(2,512,8192)",2,512,8192,123.06042850000001,122.828483,123.712857,0.25226312691634234
"layer_norm_(2,1024,512)",2,1024,512,25.652598299999994,25.425804,25.777143,0.09836884983124572
"layer_norm_(2,1024,768)",2,1024,768,31.9218482,31.774375,32.087054,0.09297849061273472
"layer_norm_(2,1024,1024)",2,1024,1024,37.8234283,37.585714,38.081339,0.14553632852777398
"layer_norm_(2,1024,2048)",2,1024,2048,69.85571409999999,69.689911,70.032857,0.1295282926729425
"layer_norm_(2,1024,4096)",2,1024,4096,127.2124286,126.974286,127.665715,0.2103323473390539
"layer_norm_(2,1024,8192)",2,1024,8192,228.51489299999997,228.187232,229.05,0.2550818674495643
"layer_norm_(2,2048,512)",2,2048,512,40.981830499999994,40.88,41.035804,0.05787801603420314
"layer_norm_(2,2048,768)",2,2048,768,57.203955300000004,57.067054,57.427054,0.13150605101164703
"layer_norm_(2,2048,1024)",2,2048,1024,72.4065803,72.217054,72.561518,0.09943978544833486
"layer_norm_(2,2048,2048)",2,2048,2048,124.98699990000003,124.61,125.15,0.154581837908634
"layer_norm_(2,2048,4096)",2,2048,4096,236.5707322,236.344286,237.049911,0.213674946174374
"layer_norm_(2,2048,8192)",2,2048,8192,438.98141050000004,438.595625,439.325714,0.18506280153039603
"layer_norm_(2,4096,512)",2,4096,512,80.71525020000001,80.507143,80.987054,0.1440686900650748
"layer_norm_(2,4096,768)",2,4096,768,102.8988659,102.611428,103.372768,0.20741197458704935
"layer_norm_(2,4096,1024)",2,4096,1024,129.8232948,129.570089,130.194286,0.16614899579045816
"layer_norm_(2,4096,2048)",2,4096,2048,242.46787520000004,242.164286,243.034375,0.23434816143071452
"layer_norm_(2,4096,4096)",2,4096,4096,455.18442860000005,454.984286,455.539911,0.14274213078462358
"layer_norm_(2,4096,8192)",2,4096,8192,861.5726877000001,861.27134,862.098661,0.24825987090190976
"layer_norm_(4,128,512)",4,128,512,9.863152000000001,9.67,10.104286,0.16776935100971863
"layer_norm_(4,128,768)",4,128,768,12.4349822,12.265714,12.985804,0.24449842313774625
"layer_norm_(4,128,1024)",4,128,1024,15.565240900000001,15.394196,15.73991,0.10490004000046882
"layer_norm_(4,128,2048)",4,128,2048,23.0619822,22.86134,23.18,0.09299348261966198
"layer_norm_(4,128,4096)",4,128,4096,37.861580200000006,37.58,38.11,0.1719795865630571
"layer_norm_(4,128,8192)",4,128,8192,67.0518662,66.814285,67.214286,0.1082598604755149
"layer_norm_(4,256,512)",4,256,512,15.7945355,15.64,15.981339,0.13975564993727038
"layer_norm_(4,256,768)",4,256,768,19.335865899999995,19.061339,19.510089,0.11862669710993051
"layer_norm_(4,256,1024)",4,256,1024,23.660267799999996,23.512946,23.781518,0.07832115459482611
"layer_norm_(4,256,2048)",4,256,2048,36.7693034,36.594285,36.927143,0.09964371598093393
"layer_norm_(4,256,4096)",4,256,4096,68.5782856,68.398482,68.728572,0.09568468294374051
"layer_norm_(4,256,8192)",4,256,8192,123.05343769999999,122.822858,123.665714,0.2287660544302108
"layer_norm_(4,512,512)",4,512,512,24.9103038,24.835715,25.032857,0.05877970339193973
"layer_norm_(4,512,768)",4,512,768,30.1567141,29.908571,30.314375,0.1366642273265637
"layer_norm_(4,512,1024)",4,512,1024,37.6375894,37.434285,37.771518,0.1167402152047199
"layer_norm_(4,512,2048)",4,512,2048,70.2135715,69.941339,70.4,0.145446119213536
"layer_norm_(4,512,4096)",4,512,4096,127.3750896,127.137143,128.028572,0.23900504872593942
"layer_norm_(4,512,8192)",4,512,8192,228.3838573,228.171429,228.951429,0.22668109022003502
"layer_norm_(4,1024,512)",4,1024,512,40.8461431,40.755714,40.992857,0.08377365211548676
"layer_norm_(4,1024,768)",4,1024,768,57.133598299999996,56.934286,57.338571,0.1120013426120416
"layer_norm_(4,1024,1024)",4,1024,1024,72.4431519,72.201428,72.725804,0.17510169709403428
"layer_norm_(4,1024,2048)",4,1024,2048,124.8582946,124.617232,125.301518,0.1892956147306816
"layer_norm_(4,1024,4096)",4,1024,4096,240.02669649999999,236.932857,266.368572,9.256403614630031
"layer_norm_(4,1024,8192)",4,1024,8192,438.7209997,438.538571,439.151428,0.17001228631422885
"layer_norm_(4,2048,512)",4,2048,512,78.70669639999998,78.57,79.151518,0.18365869266489385
"layer_norm_(4,2048,768)",4,2048,768,102.5309908,102.428482,102.705714,0.0791403569991653
"layer_norm_(4,2048,1024)",4,2048,1024,129.53358020000002,129.372857,129.805715,0.1495261957404834
"layer_norm_(4,2048,2048)",4,2048,2048,241.93758029999998,241.73866,242.308661,0.16820089540721442
"layer_norm_(4,2048,4096)",4,2048,4096,456.3165448,456.042858,456.731429,0.192368458340751
"layer_norm_(4,2048,8192)",4,2048,8192,861.0517141,860.698571,861.537232,0.27792263182741966
"layer_norm_(4,4096,512)",4,4096,512,143.3873926,143.161428,143.762767,0.16847334958199564
"layer_norm_(4,4096,768)",4,4096,768,195.1442945,194.834286,195.645714,0.22593053107205205
"layer_norm_(4,4096,1024)",4,4096,1024,248.43287490000003,248.260089,248.994286,0.21705687044410238
"layer_norm_(4,4096,2048)",4,4096,2048,468.69015169999994,465.622946,494.415625,9.039846804121487
"layer_norm_(4,4096,4096)",4,4096,4096,896.2011519,895.988571,896.704286,0.20174076399261687
"layer_norm_(4,4096,8192)",4,4096,8192,1909.1685893000001,1908.272857,1911.082857,0.9035589495058358
"layer_norm_(8,128,512)",8,128,512,15.506696499999999,15.334286,15.694197,0.13760183865313066
"layer_norm_(8,128,768)",8,128,768,19.067999899999997,18.82,19.277143,0.14346092979116082
"layer_norm_(8,128,1024)",8,128,1024,23.4737053,23.298482,23.571428,0.08563439005063597
"layer_norm_(8,128,2048)",8,128,2048,36.3221337,36.161428,36.442857,0.0777233643279519
"layer_norm_(8,128,4096)",8,128,4096,68.3881159,68.262857,68.575803,0.09904617942090312
"layer_norm_(8,128,8192)",8,128,8192,122.75353580000001,122.448572,123.385715,0.27873434572876893
"layer_norm_(8,256,512)",8,256,512,25.6650268,25.611429,25.751339,0.04369851363045582
"layer_norm_(8,256,768)",8,256,768,30.1107143,29.981429,30.321339,0.11457498523776151
"layer_norm_(8,256,1024)",8,256,1024,37.479991299999995,37.294286,37.68,0.10754685899132509
"layer_norm_(8,256,2048)",8,256,2048,69.8637142,69.677143,70.097142,0.13053505206546503
"layer_norm_(8,256,4096)",8,256,4096,127.15928579999999,126.905714,127.655714,0.21244040586312468
"layer_norm_(8,256,8192)",8,256,8192,228.28310720000005,228.151518,228.677143,0.1485956727856571
"layer_norm_(8,512,512)",8,512,512,42.5619731,42.50134,42.654285,0.05966677336573311
"layer_norm_(8,512,768)",8,512,768,57.865134,57.71134,58.222768,0.1526730422169476
"layer_norm_(8,512,1024)",8,512,1024,73.0109733,72.854286,73.225803,0.1054565136558916
"layer_norm_(8,512,2048)",8,512,2048,124.7422766,124.518571,125.057142,0.1495830325428367
"layer_norm_(8,512,4096)",8,512,4096,236.9501339,236.717143,237.399911,0.17855687805256334
"layer_norm_(8,512,8192)",8,512,8192,438.70714289999995,438.408571,439.277054,0.24910458889321663
"layer_norm_(8,1024,512)",8,1024,512,78.44099999999999,78.294196,78.537143,0.0701615705623646
"layer_norm_(8,1024,768)",8,1024,768,107.7561431,103.94,141.545804,11.8726142987604
"layer_norm_(8,1024,1024)",8,1024,1024,130.89488380000003,130.698571,131.358571,0.1815408718699201
"layer_norm_(8,1024,2048)",8,1024,2048,242.01184820000003,241.831428,242.364286,0.19116597844618818
"layer_norm_(8,1024,4096)",8,1024,4096,456.13588390000007,455.999911,456.625803,0.19353334293458488
"layer_norm_(8,1024,8192)",8,1024,8192,870.3711786,861.122768,952.01009,28.685364946965105
"layer_norm_(8,2048,512)",8,2048,512,142.92114279999998,142.728571,143.324285,0.17392496341928687
"layer_norm_(8,2048,768)",8,2048,768,194.8752856,194.587143,195.301518,0.21383937383528429
"layer_norm_(8,2048,1024)",8,2048,1024,248.01141060000003,247.861428,248.458482,0.1749422013105415
"layer_norm_(8,2048,2048)",8,2048,2048,466.0874288,465.835714,466.642947,0.21812682347498802
"layer_norm_(8,2048,4096)",8,2048,4096,896.0444286,895.752946,896.661429,0.27579405152123176
"layer_norm_(8,2048,8192)",8,2048,8192,1908.9696072,1907.2,1910.655714,1.0033910295108561
"layer_norm_(8,4096,512)",8,4096,512,281.76070539999995,281.652946,282.242857,0.1794663130155095
"layer_norm_(8,4096,768)",8,4096,768,382.26916960000005,382.011428,382.735714,0.19677407007145262
"layer_norm_(8,4096,1024)",8,4096,1024,477.86911630000003,477.608572,478.384286,0.2029171794660438
"layer_norm_(8,4096,2048)",8,4096,2048,916.0926876999999,915.834286,916.702768,0.259423100932323
"layer_norm_(8,4096,4096)",8,4096,4096,1946.1924019000003,1945.202858,1946.737143,0.42866024713294343
"layer_norm_(8,4096,8192)",8,4096,8192,3801.2323124000004,3797.702857,3803.244375,1.638968382503162
"layer_norm_(16,128,512)",16,128,512,25.6726965,25.512768,25.784286,0.08851560801883741
"layer_norm_(16,128,768)",16,128,768,29.9215444,29.732768,30.198571,0.14872155002793344
"layer_norm_(16,128,1024)",16,128,1024,37.5235982,37.324196,37.675803,0.10886484044579756
"layer_norm_(16,128,2048)",16,128,2048,69.66970549999999,69.535804,69.801429,0.10122510672560898
"layer_norm_(16,128,4096)",16,128,4096,126.90485700000002,126.754285,127.328482,0.16316640183703254
"layer_norm_(16,128,8192)",16,128,8192,227.689116,227.431428,228.524196,0.31035415054560933
"layer_norm_(16,256,512)",16,256,512,42.5659553,42.284286,42.717143,0.1494570269059529
"layer_norm_(16,256,768)",16,256,768,57.90044630000001,57.802857,58.21,0.12369477279627525
"layer_norm_(16,256,1024)",16,256,1024,73.05885709999998,72.885714,73.232857,0.10775114323337814
"layer_norm_(16,256,2048)",16,256,2048,124.3451429,124.205714,124.841428,0.1827109596672941
"layer_norm_(16,256,4096)",16,256,4096,236.4340269,236.155715,236.885715,0.20997900179486334
"layer_norm_(16,256,8192)",16,256,8192,438.72415199999995,438.428482,439.368572,0.2664276522964905
"layer_norm_(16,512,512)",16,512,512,78.3974105,78.187143,78.605714,0.14773649156916863
"layer_norm_(16,512,768)",16,512,768,104.0804198,103.917143,104.152857,0.07241006124044329
"layer_norm_(16,512,1024)",16,512,1024,130.97525,130.782857,131.282857,0.1273056339750038
"layer_norm_(16,512,2048)",16,512,2048,242.07611609999998,241.835625,242.537143,0.19689483085390638
"layer_norm_(16,512,4096)",16,512,4096,456.27371430000005,455.952857,456.798571,0.23850887476199628
"layer_norm_(16,512,8192)",16,512,8192,861.5072947000001,861.107143,862.258661,0.3347151044196857
"layer_norm_(16,1024,512)",16,1024,512,143.0254197,142.811429,143.402858,0.16530096961069052
"layer_norm_(16,1024,768)",16,1024,768,194.8985538,194.62134,195.421428,0.2262764950742017
"layer_norm_(16,1024,1024)",16,1024,1024,248.09329469999997,247.911518,248.557054,0.19070372231410368
"layer_norm_(16,1024,2048)",16,1024,2048,466.1165715,465.842857,466.809911,0.2610963953439646
"layer_norm_(16,1024,4096)",16,1024,4096,896.1849909,895.985714,896.844375,0.25190309378738035
"layer_norm_(16,1024,8192)",16,1024,8192,1909.4639998999999,1908.905714,1910.038483,0.42026451234812606
"layer_norm_(16,2048,512)",16,2048,512,274.78341979999993,274.624286,275.1,0.1345937210875027
"layer_norm_(16,2048,768)",16,2048,768,373.970991,373.822857,374.56,0.21363440169442355
"layer_norm_(16,2048,1024)",16,2048,1024,478.11670549999997,477.975714,478.564286,0.17637804801066906
"layer_norm_(16,2048,2048)",16,2048,2048,916.2235982,915.911429,916.702946,0.21189238379831418
"layer_norm_(16,2048,4096)",16,2048,4096,1944.9419911999998,1944.337054,1945.764196,0.4280759683596687
"layer_norm_(16,2048,8192)",16,2048,8192,3798.4078569999997,3793.774286,3801.854285,2.556733152253896
"layer_norm_(16,4096,512)",16,4096,512,530.7403213999999,530.468482,531.394286,0.2603539347585628
"layer_norm_(16,4096,768)",16,4096,768,776.3062769,775.98,776.824197,0.2357836380533212
"layer_norm_(16,4096,1024)",16,4096,1024,940.6998572,940.477143,941.198571,0.1980139557903363
"layer_norm_(16,4096,2048)",16,4096,2048,1943.6274377000002,1942.541429,1945.2,0.755903886369329
"layer_norm_(16,4096,4096)",16,4096,4096,3867.0671697999996,3863.24009,3870.894286,2.766732156755618
"layer_norm_(16,4096,8192)",16,4096,8192,7585.9572947,7581.554286,7588.468661,1.908807762736719
"layer_norm_(32,128,512)",32,128,512,42.478723200000005,42.27,42.62,0.12332314014886854
"layer_norm_(32,128,768)",32,128,768,57.877544599999986,57.731429,58.094196,0.10910052923102087
"layer_norm_(32,128,1024)",32,128,1024,73.01126789999999,72.845625,73.137053,0.08886079870280304
"layer_norm_(32,128,2048)",32,128,2048,124.5052946,124.277232,124.845803,0.17625647550228962
"layer_norm_(32,128,4096)",32,128,4096,236.0853929,235.842768,236.71,0.2307637415286952
"layer_norm_(32,128,8192)",32,128,8192,437.25412489999997,436.997143,437.698482,0.17597195117559614
"layer_norm_(32,256,512)",32,256,512,78.45472319999999,78.214286,78.642858,0.15471972793610436
"layer_norm_(32,256,768)",32,256,768,104.05815170000001,103.817143,104.222768,0.15320602841638525
"layer_norm_(32,256,1024)",32,256,1024,130.9505627,130.75134,131.178482,0.126387272154589
"layer_norm_(32,256,2048)",32,256,2048,242.112,241.854197,242.56,0.20902144631592606
"layer_norm_(32,256,4096)",32,256,4096,454.9227053000001,454.694286,455.482857,0.21870205681605004
"layer_norm_(32,256,8192)",32,256,8192,861.6123036000001,861.394286,862.152946,0.2239418668520121
"layer_norm_(32,512,512)",32,512,512,143.0695627,142.854375,143.378572,0.13657018278855285
"layer_norm_(32,512,768)",32,512,768,194.9287234,194.651518,195.39,0.20792449917227568
"layer_norm_(32,512,1024)",32,512,1024,248.11786629999997,247.845803,248.664375,0.23997916596749883
"layer_norm_(32,512,2048)",32,512,2048,466.10728560000007,465.892946,466.707142,0.22404613779714938
"layer_norm_(32,512,4096)",32,512,4096,896.1668303,895.851428,896.891429,0.29514607188308123
"layer_norm_(32,512,8192)",32,512,8192,1909.3712680999997,1907.864286,1910.372857,0.8821311148962412
"layer_norm_(32,1024,512)",32,1024,512,274.7348484,274.482768,275.251518,0.21596442458278536
"layer_norm_(32,1024,768)",32,1024,768,374.9004285,373.555714,384.477232,3.368579448632891
"layer_norm_(32,1024,1024)",32,1024,1024,478.1287232000001,477.932857,478.312857,0.13261862192165721
"layer_norm_(32,1024,2048)",32,1024,2048,916.9549730000001,916.798482,917.491428,0.20973296981532713
"layer_norm_(32,1024,4096)",32,1024,4096,1944.7861519000003,1943.704197,1946.541429,1.0426525186167837
"layer_norm_(32,1024,8192)",32,1024,8192,3801.7375982999997,3800.687143,3804.594286,1.1657160150871457
"layer_norm_(32,2048,512)",32,2048,512,530.6736965,530.445714,531.004375,0.16122539799041882
"layer_norm_(32,2048,768)",32,2048,768,760.8161606000001,760.657143,761.370089,0.21574799215710153
"layer_norm_(32,2048,1024)",32,2048,1024,940.5026876,940.179911,941.147054,0.2767676512416723
"layer_norm_(32,2048,2048)",32,2048,2048,1944.391428,1944.391428,1944.391428,
